symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
TOL,15M_STK,135.6,1.96,8.93,0.0,True,True
IVZ,15M_STK,26.93,1.96,8.43,0.0,True,True
META,15M_STK,650.61,1.95,225.26,0.0,True,True
DHI,15M_STK,145.71,1.95,18.72,0.0,True,True
DINO,15M_STK,46.85,1.95,6.67,0.0,True,True
KKR,15M_STK,128.87,1.95,27.66,0.0,True,True
MUSA,15M_STK,405.84,1.95,5.06,0.0,True,True
BIIB,15M_STK,177.81,1.94,12.72,0.0,True,True
PAYX,15M_STK,108.6,1.94,16.29,0.0,True,True
FFIV,15M_STK,256.63,1.94,14.17,0.0,True,True
FTNT,15M_STK,77.86,1.94,20.99,0.0,True,True
GILD,15M_STK,121.57,1.94,24.72,0.0,True,True
EVR,15M_STK,351.45,1.94,5.92,0.0,True,True
CRBG,15M_STK,30.37,1.93,8.54,0.0,True,True
GS,15M_STK,914.25,1.93,46.02,0.0,True,True
SWKS,15M_STK,64.4,1.92,5.37,0.0,True,True
CWAN,15M_STK,24.12,1.92,15.4,0.0,True,True
TRGP,15M_STK,186.76,1.92,11.35,0.0,True,True
MGM,15M_STK,36.48,1.92,8.38,0.0,True,True
AKAM,15M_STK,85.09,1.91,7.09,0.0,True,True
ODFL,15M_STK,159.16,1.91,14.72,0.0,True,True
VLO,15M_STK,165.3,1.91,28.07,0.0,True,True
NTRA,15M_STK,228.75,1.9,11.9,0.0,True,True
CWST,15M_STK,98.66,1.9,5.98,0.0,True,True
BA,15M_STK,227.72,1.9,46.23,0.0,True,True
VEEV,15M_STK,219.54,1.9,16.18,0.0,True,True
MRK,15M_STK,106.49,1.9,62.5,0.0,True,True
CDNS,15M_STK,310.39,1.89,14.54,0.0,True,True
TPR,15M_STK,129.1,1.89,12.37,0.0,True,True
POOL,15M_STK,229.74,1.88,6.9,0.0,True,True
MIDD,15M_STK,150.75,1.86,6.15,0.0,True,True
HSY,15M_STK,182.34,1.86,10.68,0.0,True,True
EBAY,15M_STK,87.06,1.85,16.03,0.0,True,True
ARGX,15M_STK,840.47,1.85,13.85,0.0,True,True
NUE,15M_STK,169.45,1.85,9.49,0.0,True,True
CRH,15M_STK,126.46,1.84,50.28,0.0,True,True
IR,15M_STK,79.74,1.84,9.19,0.0,True,True
LII,15M_STK,498.89,1.84,14.36,0.0,True,True
IDXX,15M_STK,669.98,1.83,13.99,0.0,True,True
WST,15M_STK,276.37,1.83,8.27,0.0,True,True
ZTS,15M_STK,125.86,1.83,24.33,0.0,True,True
BP,15M_STK,35.84,1.82,18.2,0.0,True,True
CF,15M_STK,80.14,1.82,6.29,0.0,True,True
CSL,15M_STK,328.53,1.82,7.08,0.0,True,True
TKO,15M_STK,206.91,1.82,9.52,0.0,True,True
IBM,15M_STK,291.2,1.82,27.82,0.0,True,True
ABNB,15M_STK,132.99,1.81,21.81,0.0,True,True
D,15M_STK,59.24,1.81,17.85,0.0,True,True
BMY,15M_STK,53.48,1.81,39.85,0.0,True,True
OC,15M_STK,114.15,1.81,5.45,0.0,True,True
OMC,15M_STK,81.33,1.81,15.27,0.0,True,True
CMI,15M_STK,522.02,1.8,19.21,0.0,True,True
CRL,15M_STK,202.12,1.8,6.02,0.0,True,True
SNX,15M_STK,153.46,1.8,5.67,0.0,True,True
KNSL,15M_STK,392.8,1.8,5.19,0.0,True,True
QCOM,15M_STK,172.94,1.79,36.39,0.0,True,True
BX,15M_STK,158.76,1.79,20.89,0.0,True,True
KEYS,15M_STK,206.59,1.79,9.07,0.0,True,True
LYV,15M_STK,145.38,1.79,13.91,0.0,True,True
ALGN,15M_STK,156.01,1.78,8.46,0.0,True,True
EXPE,15M_STK,282.92,1.78,22.66,0.0,True,True
BG,15M_STK,92.67,1.78,5.34,0.0,True,True
PLNT,15M_STK,109.67,1.78,7.95,0.0,True,True
AMZN,15M_STK,226.49,1.77,224.1,0.0,True,True
SLM,15M_STK,27.41,1.77,6.11,0.0,True,True
TSCO,15M_STK,50.82,1.77,16.14,0.0,True,True
ULTA,15M_STK,619.85,1.77,22.66,0.0,True,True
PODD,15M_STK,282.82,1.77,8.66,0.0,True,True
GEN,15M_STK,26.08,1.77,5.4,0.0,True,True
CACI,15M_STK,537.47,1.77,7.56,0.0,True,True
ELV,15M_STK,354.26,1.77,18.95,0.0,True,True
JLL,15M_STK,335.83,1.77,5.52,0.0,True,True
TXN,15M_STK,177.48,1.76,29.76,0.0,True,True
NLY,15M_STK,22.9,1.76,6.88,0.0,True,True
HCA,15M_STK,470.32,1.76,26.42,0.0,True,True
CHKP,15M_STK,181.02,1.75,7.39,0.0,True,True
WAT,15M_STK,381.87,1.75,11.67,0.0,True,True
SU,15M_STK,45.58,1.75,9.88,0.0,True,True
TYL,15M_STK,435.68,1.75,7.11,0.0,True,True
EMR,15M_STK,135.87,1.75,13.21,0.0,True,True
FDX,15M_STK,293.1,1.75,16.57,0.0,True,True
BNTX,15M_STK,96.61,1.74,6.38,0.0,True,True
JAZZ,15M_STK,173.19,1.74,6.79,0.0,True,True
PFE,15M_STK,25.18,1.74,46.06,0.0,True,True
LMT,15M_STK,496.99,1.74,19.07,0.0,True,True
LVS,15M_STK,65.15,1.74,18.1,0.0,True,True
