symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
MDB,WK_OPT,399.59,2.83,31.9,318.9,True,True
FCX,WK_OPT,51.94,2.71,43.13,43.25,True,True
AMAT,WK_OPT,268.8,2.64,56.0,212.38,True,True
NVDA,WK_OPT,188.82,2.55,629.17,181.78,True,True
TSM,WK_OPT,319.67,2.53,111.78,272.33,True,True
LITE,WK_STK,386.07,5.74,52.86,199.79,True,True
APP,WK_STK,618.72,5.06,74.33,561.36,True,True
MU,WK_STK,315.38,4.9,120.25,184.09,True,True
CVNA,WK_STK,400.18,4.32,83.34,366.37,True,True
AVGO,WK_STK,347.53,4.08,316.48,336.75,True,True
TSLA,WK_STK,438.1,4.05,374.84,402.04,True,True
