entry_price,exit_price,premium,exit_premium,cost,pnl,pnl_pct,reason,symbol,entry_time,atr
85.26,84.88348610500319,0.47,0.28,47.06,-18.83,-40.0,SL,EBAY,2025-10-30 15:00:00+00:00,1.57
84.58,84.76338145124852,0.46,0.55,45.85,9.17,20.0,TP,EBAY,2025-10-30 15:15:00+00:00,1.53
84.98,84.6224630191099,0.45,0.27,44.69,-17.88,-40.0,SL,EBAY,2025-10-30 15:30:00+00:00,1.49
84.97,85.055,0.43,0.47,42.51,4.25,10.0,EOD,EBAY,2025-10-30 15:45:00+00:00,1.42
85.08,85.24225446370006,0.41,0.49,40.56,8.11,20.0,TP,EBAY,2025-10-30 16:00:00+00:00,1.35
82.1,82.2192080591794,0.3,0.36,29.8,5.96,20.0,TP,EBAY,2025-10-31 13:45:00+00:00,0.99
81.92,81.68932487753756,0.29,0.17,28.83,-11.53,-40.0,SL,EBAY,2025-10-31 14:15:00+00:00,0.96
81.235,81.34908487828613,0.29,0.34,28.52,5.7,20.0,TP,EBAY,2025-10-31 14:30:00+00:00,0.95
84.6,84.51107024064117,0.11,0.07,11.12,-4.45,-40.0,SL,EBAY,2025-11-14 14:30:00+00:00,0.37
82.24,82.17280631620456,0.08,0.05,8.4,-3.36,-40.0,SL,EBAY,2025-11-17 19:45:00+00:00,0.28
82.08,82.01537729361853,0.08,0.05,8.08,-3.23,-40.0,SL,EBAY,2025-11-17 20:00:00+00:00,0.27
82.19,82.22248911367711,0.08,0.1,8.12,1.62,20.0,TP,EBAY,2025-11-17 20:15:00+00:00,0.27
80.7,80.74427136330698,0.11,0.13,11.07,2.21,20.0,TP,EBAY,2025-11-19 15:45:00+00:00,0.37
80.65,80.55877444136807,0.11,0.07,11.4,-4.56,-40.0,SL,EBAY,2025-12-01 14:45:00+00:00,0.38
80.695,80.60231912412749,0.12,0.07,11.59,-4.63,-40.0,SL,EBAY,2025-12-01 15:00:00+00:00,0.39
161.04,160.87736997510697,0.2,0.12,20.33,-8.13,-40.0,SL,MS,2025-11-07 15:45:00+00:00,0.68
160.75,160.59024354831362,0.2,0.12,19.97,-7.99,-40.0,SL,MS,2025-11-07 16:00:00+00:00,0.67
159.4,159.2284261520055,0.21,0.13,21.45,-8.58,-40.0,SL,MS,2025-11-07 16:15:00+00:00,0.71
159.495,159.32188142686226,0.22,0.13,21.64,-8.66,-40.0,SL,MS,2025-11-07 16:30:00+00:00,0.72
158.91,158.73244703922924,0.22,0.13,22.19,-8.88,-40.0,SL,MS,2025-11-07 16:45:00+00:00,0.74
162.07,161.8373502363128,0.29,0.17,29.08,-11.63,-40.0,SL,MS,2025-11-14 15:00:00+00:00,0.97
160.94,161.05898739028333,0.3,0.36,29.75,5.95,20.0,TP,MS,2025-11-14 15:15:00+00:00,0.99
160.38,160.23851772929044,0.18,0.11,17.69,-7.07,-40.0,SL,MS,2025-11-17 19:30:00+00:00,0.59
159.75,159.6037093200554,0.18,0.11,18.29,-7.31,-40.0,SL,MS,2025-11-17 19:45:00+00:00,0.61
158.965,158.81330151148,0.19,0.11,18.96,-7.58,-40.0,SL,MS,2025-11-17 20:00:00+00:00,0.63
158.97,159.04574572681284,0.19,0.23,18.94,3.79,20.0,TP,MS,2025-11-17 20:15:00+00:00,0.63
158.77,158.5947179964244,0.22,0.13,21.91,-8.76,-40.0,SL,MS,2025-11-18 15:00:00+00:00,0.73
158.06,158.15012378737438,0.23,0.27,22.53,4.51,20.0,TP,MS,2025-11-18 15:15:00+00:00,0.75
96.745,96.6577049154956,0.11,0.07,10.91,-4.36,-40.0,SL,C,2025-10-22 14:15:00+00:00,0.36
96.61,96.5194259929602,0.11,0.07,11.32,-4.53,-40.0,SL,C,2025-10-22 14:30:00+00:00,0.38
96.095,96.00275270774875,0.12,0.07,11.53,-4.61,-40.0,SL,C,2025-10-22 14:45:00+00:00,0.38
95.33,95.38014719473226,0.13,0.15,12.54,2.51,20.0,TP,C,2025-10-22 18:00:00+00:00,0.42
98.24,98.10830519067662,0.16,0.1,16.46,-6.58,-40.0,SL,C,2025-11-07 16:00:00+00:00,0.55
